feature,adjust,hold,lift,other,place,press,rotate,Mean_Importance
x_19_std_5,0.014387840387684247,0.006276938303930165,0.005189418845307579,0.0011292344443900777,0.006874097701127997,0.00019981979648259354,0.0025347697410754494,0.005227445602856873
z_3_mean_5,0.00014401154213141424,0.008885938069772045,0.00937733350749625,0.007715973074247841,0.003196145773390047,0.001465513703929306,0.005136072465471363,0.005131569733776895
x_11_std_5,0.003070759483058967,0.0014331025537673255,0.0005659182581083709,0.002124152926885012,0.010623909746493555,0.00031161200453234684,0.017771906258336394,0.005128765890168853
x_18_std_5,0.0011346350583232787,0.00961067960743942,0.004878790501018664,0.001462193728549149,0.014767405250862106,0.0004748158371228188,0.0025555142985491915,0.004983433468837804
x_12_std_5,0.00030460487687869144,0.0092155351313358,0.0002817818318925072,0.005986785252663225,0.013599189693406956,9.596147683126338e-05,0.005239835140932462,0.004960527629134416
x_8_std_5,0.0023083420659954935,0.0023911913082937256,0.00042276731970851585,0.012823763100296402,0.0052502437907435895,0.00015203265681310564,0.007321634002316328,0.00438142489202388
x_5_mean_5,0.001012374453030651,0.001031275871423268,4.59452086570389e-05,0.0041951350133983,0.00306303029129852,0.010981131784688212,0.010034612355948989,0.004337643568349282
x_7_mean_5,0.0003436265260805211,0.00065785621568991,0.0006742801004745078,0.0006737777882813728,0.0013269156799898057,0.023244178312605498,0.0033270675276236925,0.00432110030724933
y_17,0.00022523413061495588,0.001963545794597823,7.548962970231276e-05,0.002070450496478387,0.0005509192492105964,0.0003307212493750598,0.02489080488172728,0.0043010236331009165
x_9_std_5,0.013985507405995405,0.0033770602434116457,0.00016224345804036723,0.0019346826222706704,0.008476052079869147,0.0005336131831696368,0.001292096061218422,0.004251607864853614
lmk_0_speed,0.0011076204679238357,0.0005909450581107017,0.0005191477397617218,0.0017994879385975129,0.0004017581997105729,0.021727543675134183,0.002894239200494046,0.004148677468533224
y_14_std_5,0.008424924989759195,0.007932090555505084,0.00035698422675769977,0.00072591508406787,0.0005216968990071255,0.009114864977314938,0.0019292300548495785,0.004143672398180213
y_20_std_5,0.00114554246195098,0.0014980265254630665,0.00033471143996799765,0.0003117250448870265,0.0008901119708446577,0.02237820967569829,0.002235261883085293,0.0041133698574139016
